"Story","Title","Result","Date","Stability","Duration (s)"
"Spartan admin get test","Get all spartan","SUCCESS","2022-05-12T10:40:42.5694634-05:00[America/Chicago]","0.0","2.89"
"Spartan admin get test","Get one spartan","SUCCESS","2022-05-12T10:40:45.4592623-05:00[America/Chicago]","0.0","1.64"
